Run,DATA_QUALITY,LOT_ID,MachineRecipeID,PortID,ProcessOpNum,ProductGrpID,ProductID,RouteID,Technology,WAFER_ID,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24,Sensor_25,Sensor_26,Sensor_27,Sensor_28,Sensor_29,Sensor_30,Sensor_31,Sensor_32,Sensor_33
62301,63.49,A,A,A,A,A,A,A,A,1,76.0,4.94,361.0,120.0,128.0,146.0,126.0,-74.0,3.0,0.4,7.0,6.29,0.45,9.49,968.0,111.0,16.06,106.0,49.0,9.15,204.0,2.51,4852.0,2801.0,3.0,12.0,5.0,1306.0,3110.0,11.0,26700.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,101.0,4.95,363.0,120.0,128.0,146.0,126.0,-75.0,3.0,0.3,7.0,6.3,0.46,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.51,4852.0,2800.0,2.0,8.0,5.0,1305.0,3106.0,11.0,29000.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,137.0,4.95,364.0,119.0,128.0,147.0,128.0,-75.0,3.0,0.3,7.0,6.3,0.46,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.51,4852.0,2802.0,2.0,6.0,5.0,1305.0,3106.0,11.0,35300.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,137.0,4.95,365.0,119.0,128.0,147.0,128.0,-75.0,3.0,0.2,7.0,6.32,0.48,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.51,4852.0,2802.0,2.0,6.0,5.0,1305.0,3106.0,11.0,36500.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,144.0,4.95,365.0,119.0,128.0,148.0,128.0,-75.0,3.0,0.3,7.0,6.31,0.47,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.51,4852.0,2803.0,2.0,5.0,5.0,1304.0,3106.0,11.0,38800.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,148.0,4.95,365.0,119.0,128.0,148.0,129.0,-75.0,3.0,0.3,7.0,6.32,0.48,9.49,968.0,111.0,16.03,106.0,49.0,9.14,204.0,2.51,4852.0,2802.0,1.0,6.0,4.0,1304.0,3103.0,11.0,41100.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,152.0,4.95,366.0,119.0,129.0,148.0,129.0,-75.0,3.0,0.3,7.0,6.33,0.49,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.47,4852.0,2801.0,1.0,6.0,3.0,1304.0,3103.0,11.0,42800.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,156.0,4.95,366.0,119.0,129.0,148.0,130.0,-75.0,3.0,0.3,6.99,6.31,0.47,9.49,968.0,111.0,16.06,106.0,49.0,9.14,203.0,2.47,4852.0,2801.0,2.0,5.0,3.0,1304.0,3106.0,11.0,46300.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,159.0,4.97,366.0,119.0,129.0,149.0,130.0,-75.0,3.0,0.4,7.0,6.31,0.47,9.49,968.0,111.0,16.06,106.0,49.0,9.14,205.0,2.47,4852.0,2802.0,1.0,6.0,3.0,1305.0,3106.0,11.0,52300.0,81.0,1890.0
62301,63.49,A,A,A,A,A,A,A,A,1,145.0,4.95,367.0,119.0,129.0,149.0,131.0,-76.0,3.0,0.4,7.0,6.33,0.49,9.49,968.0,111.0,16.06,106.0,49.0,9.14,204.0,2.47,4852.0,2802.0,0.0,6.0,3.0,1304.0,3107.0,11.0,59700.0,81.0,1890.0
